county_name,crime_rate_per_100000,index,EDITION,PART,IDNO,CPOPARST,CPOPCRIM,AG_ARRST,AG_OFF,COVIND,INDEX,MODINDX,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,population,FIPS_ST,FIPS_CTY
"Stillwater County, MT",321.9575016,779,1,4,1660,9195,9195,2,2,100,30,122,0,4,1,25,54,62,6,1,9318,30,95
"Salt Lake County, UT",321.9350184,780,1,4,2823,1064971,1062765,15,14,100,3476,45997,27,487,773,2188,6584,35187,4226,128,1079721,49,35
"Sabine Parish, LA",321.8485661,781,1,4,1164,24671,24437,5,4,80.46,78,549,0,3,6,69,73,472,4,0,24235,22,85
"Howell County, MO",321.8379422,782,1,4,1543,40741,40741,4,4,100,130,1451,1,6,4,119,312,1074,65,4,40393,29,91
"Shelby County, TX",321.8052109,783,1,4,2760,26158,26158,3,3,100,83,576,5,10,18,50,169,373,34,3,25792,48,419
"Logan County, KS",321.6583274,784,1,4,950,2839,2797,2,2,75.7478,9,24,0,0,0,9,8,15,1,0,2798,20,109
"Putnam County, WV",321.270962,785,1,4,3066,54841,55025,10,7,100,182,843,1,8,9,164,157,655,31,1,56650,54,79
"McDowell County, WV",320.9427093,786,1,4,3050,21730,17783,15,4,100,67,367,0,6,5,56,91,171,105,3,20876,54,47
"Ripley County, MO",320.695553,787,1,4,1588,14170,14170,3,3,100,45,473,0,1,1,43,95,361,17,2,14032,29,181
"Dodge County, GA",320.4373027,788,1,4,438,22455,20165,5,3,98.6276,68,945,0,5,4,59,211,714,20,0,21221,13,91
"Swain County, NC",320.1024328,789,1,4,1998,14182,14182,4,2,100,45,325,1,4,1,39,120,195,10,0,14058,37,173
"McLean County, IL",320.0742068,790,1,4,659,170635,164977,14,11,99.7878,559,3652,1,73,84,401,770,2793,89,25,174647,17,113
"Waynesboro city, VA",319.804355,791,1,4,2984,21546,21546,2,2,100,68,750,0,11,9,48,88,623,39,1,21263,51,820
"Yavapai County, AZ",319.8021689,792,1,4,110,217069,214201,10,11,100,688,4350,12,44,47,584,943,3186,221,42,215133,4,25
"San Augustine County, TX",319.3066484,793,1,4,2753,9007,9007,2,2,100,28,128,0,1,3,24,36,79,13,1,8769,48,405
"Beaver County, PA",319.1958381,794,1,4,2273,170058,170690,43,44,98.9255,543,3809,6,36,84,417,632,3048,129,14,170115,42,7
"Pasco County, FL",319.0312554,795,1,4,376,472821,472821,14,8,100,1517,13197,12,107,304,1094,3597,8943,657,91,475502,12,101
"Licking County, OH",318.9309577,796,1,4,2111,158376,160256,14,12,99.8085,537,4856,0,87,66,384,1087,3618,151,55,168375,39,89
"Lowndes County, GA",318.8210705,797,1,4,485,113079,113079,7,6,99.944,360,3354,5,44,97,214,901,2342,111,13,112916,13,185
"Lee County, TX",318.7394756,798,1,4,2694,16916,16916,3,3,100,53,329,0,5,3,45,91,226,12,0,16628,48,287
"Suffolk city, VA",318.4490482,799,1,4,2982,85866,85866,5,2,100,273,2275,2,30,52,189,357,1823,95,20,85728,51,800
"Doniphan County, KS",318.4307732,800,1,4,917,7986,7986,5,5,90.4531,25,115,0,2,0,23,46,56,13,2,7851,20,43
"Ford County, IL",318.1029497,801,1,4,629,13983,13162,4,3,100,44,189,0,11,1,32,64,122,3,0,13832,17,53
"Geneva County, AL",318.0304561,802,1,4,31,26882,26889,5,6,99.9957,85,590,0,7,5,73,162,394,34,9,26727,1,61
"Edgar County, IL",317.3719376,803,1,4,625,18402,18402,3,3,98.7954,57,254,0,4,3,50,88,154,12,2,17960,17,45
"Franklin County, MA",317.3221381,804,1,4,1233,72236,63392,24,14,98.8902,226,1247,1,19,26,180,484,734,28,7,71221,25,11
"Mesa County, CO",317.1720184,805,1,4,286,149118,148399,6,5,100,468,4291,5,108,44,311,573,3456,262,35,147554,8,77
"Jackson County, OR",316.9579707,806,1,4,2247,206276,206276,11,9,100,661,7837,4,76,82,499,1029,6491,317,71,208545,41,29
"Sarasota County, FL",316.8309731,807,1,4,383,389891,387428,17,10,100,1237,11020,17,71,288,861,2741,7901,378,26,390429,12,115
"Hidalgo County, TX",316.7907686,808,1,4,2658,809759,809759,24,23,100,2585,30517,30,202,474,1879,6465,22631,1421,171,815996,48,215
"Lee County, GA",316.4665818,809,1,4,481,28880,25352,3,1,100,92,630,1,1,5,85,150,453,27,2,29071,13,177
"Crawford County, AR",316.3530175,810,1,4,129,62179,62179,4,4,100,195,1586,1,24,8,162,456,1060,70,1,61640,5,33
"Jackson County, MI",316.1458885,811,1,4,1280,159864,157709,10,9,98.7408,507,3162,7,67,71,362,723,2280,159,44,160369,26,75
"Franklin County, AR",316.0696462,812,1,4,136,18116,18116,3,3,100,57,410,2,7,2,46,99,287,24,3,18034,5,47
"Troup County, GA",315.6995351,813,1,4,534,69353,68487,6,4,100,218,2760,5,15,76,122,706,1935,119,7,69053,13,285
"Pawnee County, KS",315.5931717,814,1,4,968,7047,7047,2,2,100,22,148,0,5,0,17,48,94,6,1,6971,20,145
"Marshall County, SD",314.9275667,815,1,4,2433,4649,4649,1,1,100,15,40,0,6,0,9,11,24,5,0,4763,46,91
"Danville city, VA",314.6339758,816,1,4,2955,43324,43324,2,2,100,135,1952,3,14,54,64,424,1483,45,15,42907,51,590
"Chariton County, MO",314.6303094,817,1,4,1518,7701,7713,3,4,93.579,24,81,0,1,0,23,28,50,3,3,7628,29,41
"Faulkner County, AR",314.4338518,818,1,4,135,116754,116784,7,8,100,376,4115,4,62,80,230,1064,2823,228,15,119580,5,45
"Little River County, AR",314.2183818,819,1,4,153,13045,13045,2,2,100,40,231,0,8,1,31,61,165,5,3,12730,5,81
"Ozark County, MO",313.8075314,820,1,4,1574,9613,9613,1,1,100,30,139,1,2,2,25,82,55,2,1,9560,29,153
"Harmon County, OK",313.6981527,821,1,4,2183,2937,2937,2,2,100,9,93,1,0,2,6,34,56,3,0,2869,40,57
"Cherokee County, SC",313.1430616,822,1,4,2353,55997,56068,8,7,100,175,1019,3,14,20,138,338,584,97,3,55885,45,21
"Rowan County, NC",313.0354316,823,1,4,1991,129890,137842,11,9,97.8606,433,4298,3,26,129,276,1306,2784,208,20,138323,37,159
"Polk County, IA",312.8341713,824,1,4,873,462916,439097,11,12,100,1413,15173,8,147,280,978,3410,10775,988,79,451677,19,153
"Mono County, CA",312.6332244,825,1,4,213,14442,14442,4,3,100,44,258,0,4,9,31,86,170,2,1,14074,6,51
"Chowan County, NC",312.3726742,826,1,4,1932,15000,15000,4,2,100,46,380,0,0,15,31,138,226,16,4,14726,37,41
"Lonoke County, AR",312.3542465,827,1,4,155,69604,69604,7,7,90.1287,221,2130,0,28,18,174,864,1145,121,15,70753,5,85
"Quay County, NM",311.7063034,828,1,4,1835,9040,9040,3,3,95.0562,27,279,0,2,4,21,125,144,10,0,8662,35,37
"St. Joseph County, MI",311.6593399,829,1,4,1317,61180,61180,9,9,99.052,190,1161,0,61,7,122,256,853,52,7,60964,26,149
"Catawba County, NC",311.349396,830,1,4,1929,156554,155324,11,8,100,482,5904,13,34,119,316,1555,4057,292,36,154810,37,35
"Adair County, OK",310.8948364,831,1,4,2155,22751,22751,3,3,100,69,333,1,7,1,60,156,157,20,7,22194,40,1
"Grant County, AR",310.7830623,832,1,4,139,18056,18056,2,2,100,56,378,1,3,3,49,137,219,22,4,18019,5,53
"Henry County, TN",310.4625893,833,1,4,2495,32535,32619,5,6,100,100,1008,1,8,12,79,293,684,31,0,32210,47,79
